ensembl_gene,module
ENSG00000197893,M18
ENSG00000172179,M9
ENSG00000168928,M23
ENSG00000112936,grey
ENSG00000138207,M25
ENSG00000128422,M22
ENSG00000239951,M14
ENSG00000142789,M23
ENSG00000131002,grey
ENSG00000140519,M22
ENSG00000089356,M6
ENSG00000159251,grey
ENSG00000134240,M21
ENSG00000170421,M6
ENSG00000164266,M23
ENSG00000170477,M22
ENSG00000211897,M14
ENSG00000134339,grey
ENSG00000172023,M23
ENSG00000249007,M6
ENSG00000261606,grey
ENSG00000159166,M6
ENSG00000163209,M22
ENSG00000189058,M1
ENSG00000175535,M23
ENSG00000273259,grey
ENSG00000196616,grey
ENSG00000114854,M18
ENSG00000229859,grey
ENSG00000115112,M6
ENSG00000147676,M6
ENSG00000170835,M23
ENSG00000148346,grey
ENSG00000119888,M6
ENSG00000065618,grey
ENSG00000111319,M6
ENSG00000173641,M12
ENSG00000069011,grey
ENSG00000012223,M14
ENSG00000106541,M6
ENSG00000124107,grey
ENSG00000257764,M14
ENSG00000096696,M6
ENSG00000145824,grey
ENSG00000018625,M12
ENSG00000259384,M9
ENSG00000162069,M6
ENSG00000166145,M6
ENSG00000171560,M13
ENSG00000197616,M18
ENSG00000162078,grey
ENSG00000131746,M22
ENSG00000168925,M23
ENSG00000145423,grey
ENSG00000135373,M6
ENSG00000166825,grey
ENSG00000076864,grey
ENSG00000255071,grey
ENSG00000117983,grey
ENSG00000181092,M25
ENSG00000188488,grey
ENSG00000198523,M12
ENSG00000167588,M25
ENSG00000125144,grey
ENSG00000086548,M6
ENSG00000111341,M1
ENSG00000114374,grey
ENSG00000064205,M1
ENSG00000074410,M6
ENSG00000211666,M14
ENSG00000164309,M18
ENSG00000042832,grey
ENSG00000167768,grey
ENSG00000167757,grey
ENSG00000171557,M13
ENSG00000184363,M6
ENSG00000165272,grey
ENSG00000137392,M23
ENSG00000166923,grey
ENSG00000167165,M21
ENSG00000136689,grey
ENSG00000275395,grey
ENSG00000167880,grey
ENSG00000163347,grey
ENSG00000243466,M14
ENSG00000133048,grey
ENSG00000158516,M23
ENSG00000132698,M6
ENSG00000135218,M25
ENSG00000168878,grey
ENSG00000189001,M22
ENSG00000229314,M13
ENSG00000111057,M6
ENSG00000065361,M6
ENSG00000175445,M25
ENSG00000104413,M6
ENSG00000241635,M21
ENSG00000219073,M23
ENSG00000041982,M1
ENSG00000157765,M6
ENSG00000122367,M12
ENSG00000123560,M19
ENSG00000172403,M12
ENSG00000182795,M6
ENSG00000133710,M22
ENSG00000242515,M21
ENSG00000125730,grey
ENSG00000256713,grey
ENSG00000107317,grey
ENSG00000107796,M1
ENSG00000115138,M9
ENSG00000105048,M18
ENSG00000084674,M13
ENSG00000143196,M1
ENSG00000106258,M21
ENSG00000249669,M1
ENSG00000284341,grey
ENSG00000108821,M1
ENSG00000241119,M21
ENSG00000163359,M1
ENSG00000244122,M21
ENSG00000244474,M21
ENSG00000180139,M1
ENSG00000163431,M1
ENSG00000130203,M13
ENSG00000139329,M1
ENSG00000168542,M1
ENSG00000148677,M18
ENSG00000172005,grey
ENSG00000118785,grey
ENSG00000242366,M21
ENSG00000142765,M6
ENSG00000106483,grey
ENSG00000197766,M1
ENSG00000243135,M21
ENSG00000240224,M21
ENSG00000091513,M13
ENSG00000130208,M13
ENSG00000160882,grey
ENSG00000171564,M13
ENSG00000164825,M6
ENSG00000211892,M14
ENSG00000115461,M1
ENSG00000143536,M22
ENSG00000173991,M18
ENSG00000105357,grey
ENSG00000096006,grey
ENSG00000229183,grey
ENSG00000011465,M1
ENSG00000197614,M1
ENSG00000115414,M1
ENSG00000178363,M22
ENSG00000010438,M23
ENSG00000101443,M6
ENSG00000149418,M6
ENSG00000165215,M6
ENSG00000143375,M6
ENSG00000136574,grey
ENSG00000009950,M25
ENSG00000166535,M22
ENSG00000196549,grey
ENSG00000242371,M14
ENSG00000117472,M6
ENSG00000118194,grey
ENSG00000076826,M6
ENSG00000125414,M18
ENSG00000204385,M6
ENSG00000213578,grey
ENSG00000013588,grey
ENSG00000104833,grey
ENSG00000184956,M23
ENSG00000163395,grey
ENSG00000134762,M22
ENSG00000064787,grey
ENSG00000068078,M6
ENSG00000142973,M11
ENSG00000136155,M22
ENSG00000077942,M1
ENSG00000072195,M12
ENSG00000103067,M6
ENSG00000118729,M12
ENSG00000115648,grey
ENSG00000181885,M6
ENSG00000149451,M1
ENSG00000268388,grey
ENSG00000105707,grey
ENSG00000058404,grey
ENSG00000263065,M1
ENSG00000125740,grey
ENSG00000164692,M1
ENSG00000119535,M10
ENSG00000241351,M14
ENSG00000186439,M18
ENSG00000196208,grey
ENSG00000130600,grey
ENSG00000187908,M6
ENSG00000186832,M22
ENSG00000183091,M18
ENSG00000168079,M1
ENSG00000185567,grey
ENSG00000211598,M14
ENSG00000266844,M19
ENSG00000103034,grey
ENSG00000163092,M18
ENSG00000015413,M21
ENSG00000242265,grey
ENSG00000108846,grey
ENSG00000197444,grey
ENSG00000103569,grey
ENSG00000140254,grey
ENSG00000105409,M9
ENSG00000004776,M12
ENSG00000148795,grey
ENSG00000106809,M1
ENSG00000176153,M21
ENSG00000115705,grey
ENSG00000078114,grey
ENSG00000154553,M12
ENSG00000106366,grey
ENSG00000137077,grey
ENSG00000167656,M22
ENSG00000118526,grey
ENSG00000113645,M6
ENSG00000239474,M18
ENSG00000100628,M12
ENSG00000109846,M12
ENSG00000211949,M14
ENSG00000101938,M1
ENSG00000149596,M12
ENSG00000101335,M1
ENSG00000182333,grey
ENSG00000129354,M6
ENSG00000160180,M14
ENSG00000034971,M1
ENSG00000131771,grey
ENSG00000182253,M12
ENSG00000136883,grey
ENSG00000073282,M22
ENSG00000124466,M22
ENSG00000185499,M6
ENSG00000087245,M1
ENSG00000168334,M18
ENSG00000115593,M18
ENSG00000187955,M1
ENSG00000152583,grey
ENSG00000265190,M22
ENSG00000263335,M1
ENSG00000167642,M6
ENSG00000244437,M14
ENSG00000142615,M23
ENSG00000137857,grey
ENSG00000105664,grey
ENSG00000170890,M23
ENSG00000102109,M9
ENSG00000168907,grey
ENSG00000198467,M12
ENSG00000142661,M18
ENSG00000187288,M25
ENSG00000163520,M1
ENSG00000143217,M22
ENSG00000131037,M6
ENSG00000124212,M1
ENSG00000184937,grey
ENSG00000133110,M1
ENSG00000134757,M22
ENSG00000162366,M6
ENSG00000173898,grey
ENSG00000257671,M6
ENSG00000118271,M13
ENSG00000149591,M1
ENSG00000133454,M18
ENSG00000130226,M9
ENSG00000165474,M22
ENSG00000166819,M25
ENSG00000109072,M13
ENSG00000138356,grey
ENSG00000105974,M1
ENSG00000121552,M22
ENSG00000117115,grey
ENSG00000198074,grey
ENSG00000171476,grey
ENSG00000171236,M13
ENSG00000237289,M6
ENSG00000167653,M6
ENSG00000160307,M19
ENSG00000091986,M1
ENSG00000022267,M12
ENSG00000167748,M23
ENSG00000055118,grey
ENSG00000162438,M23
ENSG00000243480,M23
ENSG00000167183,M6
ENSG00000182230,grey
ENSG00000188783,M1
ENSG00000211448,grey
ENSG00000267328,M12
ENSG00000018280,M10
ENSG00000167676,M25
ENSG00000164920,grey
ENSG00000137801,grey
ENSG00000109061,M18
ENSG00000237125,M1
ENSG00000149527,grey
ENSG00000211445,M1
ENSG00000164120,grey
ENSG00000116132,M1
ENSG00000139540,M21
ENSG00000133477,M6
ENSG00000144810,M1
ENSG00000166741,grey
ENSG00000100170,grey
ENSG00000140506,grey
ENSG00000135744,grey
ENSG00000211653,M14
ENSG00000155657,M18
ENSG00000132693,M13
ENSG00000166448,M9
ENSG00000062282,M25
ENSG00000105388,M6
ENSG00000159307,grey
ENSG00000131095,M19
ENSG00000176387,M6
ENSG00000012124,grey
ENSG00000145113,M6
ENSG00000174348,M1
ENSG00000148702,grey
ENSG00000156738,M10
ENSG00000224389,grey
ENSG00000161249,M6
ENSG00000185615,M23
ENSG00000065534,M1
ENSG00000242534,M14
ENSG00000206075,M22
ENSG00000083307,M6
ENSG00000164107,M1
ENSG00000124920,grey
ENSG00000112378,grey
ENSG00000214548,grey
ENSG00000189377,M6
ENSG00000143365,M6
ENSG00000145936,M1
ENSG00000111799,M1
ENSG00000177575,grey
ENSG00000145920,M9
ENSG00000099194,grey
ENSG00000229847,grey
ENSG00000253293,M24
ENSG00000123358,grey
ENSG00000101076,M21
ENSG00000156463,grey
ENSG00000106772,M1
ENSG00000188404,M10
ENSG00000010282,M18
ENSG00000134531,M1
ENSG00000112782,M11
ENSG00000186529,M21
ENSG00000211660,M14
ENSG00000135127,grey
ENSG00000118849,grey
ENSG00000142515,grey
ENSG00000172236,grey
ENSG00000099834,M21
ENSG00000118898,grey
ENSG00000270550,M14
ENSG00000197253,grey
ENSG00000125618,grey
ENSG00000140279,grey
ENSG00000142871,M1
ENSG00000171759,M13
ENSG00000158859,M1
ENSG00000151224,M13
ENSG00000130595,M18
ENSG00000160808,M18
ENSG00000130300,M11
ENSG00000136999,grey
ENSG00000167741,M6
ENSG00000185101,M6
ENSG00000127241,M24
ENSG00000114923,grey
ENSG00000278196,M14
ENSG00000138100,M18
ENSG00000177133,grey
ENSG00000163362,M6
ENSG00000171219,M6
ENSG00000121769,M18
ENSG00000164199,grey
ENSG00000113296,grey
ENSG00000168528,M6
ENSG00000196557,grey
ENSG00000166482,M1
ENSG00000165238,grey
ENSG00000104332,grey
ENSG00000183036,grey
ENSG00000183421,M6
ENSG00000149294,grey
ENSG00000113924,grey
ENSG00000169562,M21
ENSG00000159173,M18
ENSG00000108244,grey
ENSG00000196218,M18
ENSG00000124102,grey
ENSG00000077943,M1
ENSG00000154330,M1
ENSG00000127324,grey
ENSG00000146147,M18
ENSG00000179178,M6
ENSG00000112769,M1
ENSG00000100146,grey
ENSG00000131471,M1
ENSG00000167767,M22
ENSG00000157551,grey
ENSG00000074211,grey
ENSG00000136546,grey
ENSG00000004799,grey
ENSG00000211662,M14
ENSG00000068976,M12
ENSG00000187479,M1
ENSG00000198300,grey
ENSG00000132470,grey
ENSG00000112562,M1
ENSG00000155066,M6
ENSG00000156804,M12
ENSG00000054356,M9
ENSG00000095637,M12
ENSG00000253755,M14
ENSG00000162873,grey
ENSG00000196754,M22
ENSG00000048540,M1
ENSG00000198643,M6
ENSG00000198959,M11
ENSG00000117595,M6
ENSG00000244067,M21
ENSG00000102802,M1
ENSG00000169894,grey
ENSG00000116254,M9
ENSG00000163661,grey
ENSG00000132639,M9
ENSG00000204936,grey
ENSG00000009765,grey
ENSG00000123689,grey
ENSG00000135472,M19
ENSG00000197565,M1
ENSG00000254285,M6
ENSG00000153822,grey
ENSG00000228278,M13
ENSG00000198626,grey
ENSG00000164530,grey
ENSG00000168743,grey
ENSG00000152661,M1
ENSG00000134571,grey
ENSG00000050555,grey
ENSG00000110799,M11
ENSG00000185818,M9
ENSG00000163694,M6
ENSG00000224373,M14
ENSG00000062038,grey
ENSG00000142173,M1
ENSG00000149968,grey
ENSG00000168447,M6
ENSG00000014257,grey
ENSG00000225783,grey
ENSG00000148053,grey
ENSG00000141052,M1
ENSG00000185739,M18
ENSG00000215704,M23
ENSG00000211651,M14
ENSG00000050628,grey
ENSG00000122176,M1
ENSG00000167779,M1
ENSG00000211668,M14
ENSG00000259884,grey
ENSG00000171951,M9
ENSG00000136167,M10
ENSG00000086570,grey
ENSG00000140285,M1
ENSG00000226482,M25
ENSG00000188505,M22
ENSG00000153902,M12
ENSG00000102554,M6
ENSG00000072864,M1
ENSG00000283932,M21
ENSG00000259974,M21
ENSG00000115380,M1
ENSG00000162747,M10
ENSG00000171303,grey
ENSG00000016602,grey
ENSG00000174640,M11
ENSG00000103449,grey
ENSG00000157502,grey
ENSG00000144908,grey
ENSG00000092051,grey
ENSG00000180921,M6
ENSG00000152137,M12
ENSG00000183878,grey
ENSG00000101670,grey
ENSG00000160868,M13
ENSG00000118523,M1
ENSG00000141738,M6
ENSG00000131386,grey
ENSG00000171051,M10
ENSG00000158022,M18
ENSG00000162267,M13
ENSG00000213088,M11
ENSG00000135046,grey
ENSG00000162706,M19
ENSG00000106538,grey
ENSG00000008394,grey
ENSG00000170558,grey
ENSG00000175785,grey
ENSG00000204291,M1
ENSG00000053918,grey
ENSG00000188112,grey
ENSG00000168389,grey
ENSG00000103241,grey
ENSG00000261054,M12
ENSG00000021300,M19
ENSG00000148357,M1
ENSG00000108823,M12
ENSG00000198692,grey
ENSG00000135447,M25
ENSG00000171798,grey
ENSG00000162614,M12
ENSG00000187017,grey
ENSG00000091129,M9
ENSG00000053438,M9
ENSG00000118520,M13
ENSG00000141448,grey
ENSG00000211673,M14
ENSG00000240583,M1
ENSG00000173369,grey
ENSG00000146674,M1
ENSG00000094963,grey
ENSG00000158246,grey
ENSG00000103534,M6
ENSG00000165140,M13
ENSG00000124664,M6
ENSG00000163993,grey
ENSG00000182492,M1
ENSG00000211644,M14
ENSG00000186340,M1
ENSG00000244731,grey
ENSG00000130649,M13
ENSG00000171766,grey
ENSG00000134871,M1
ENSG00000005001,M6
ENSG00000211955,M14
ENSG00000167614,M19
ENSG00000125398,grey
ENSG00000140459,grey
ENSG00000124839,M6
ENSG00000171747,M21
ENSG00000120057,grey
ENSG00000141750,grey
ENSG00000175745,grey
ENSG00000099725,grey
ENSG00000155980,M9
ENSG00000105290,M9
ENSG00000110777,M14
ENSG00000132561,M1
ENSG00000198729,grey
ENSG00000159167,grey
ENSG00000223774,M1
ENSG00000183844,M6
ENSG00000000971,grey
ENSG00000171124,M6
ENSG00000130598,M18
ENSG00000196878,M6
ENSG00000166165,grey
ENSG00000100985,grey
ENSG00000116133,grey
ENSG00000235910,M13
ENSG00000113578,M19
ENSG00000049540,M1
ENSG00000108309,M9
ENSG00000092607,M24
ENSG00000148600,grey
ENSG00000115602,grey
ENSG00000168280,M9
ENSG00000105289,M6
ENSG00000168824,grey
ENSG00000127585,M9
ENSG00000138615,grey
ENSG00000167281,grey
ENSG00000133878,grey
ENSG00000114771,grey
ENSG00000243649,grey
ENSG00000177106,M6
ENSG00000111344,M6
ENSG00000181409,M19
ENSG00000276409,M11
ENSG00000187193,grey
ENSG00000132329,M12
ENSG00000115255,grey
ENSG00000182993,M1
ENSG00000166317,M18
ENSG00000211898,M14
ENSG00000084636,M1
ENSG00000147588,M19
ENSG00000211938,M14
ENSG00000129514,M6
ENSG00000161798,grey
ENSG00000198753,grey
ENSG00000124205,M6
ENSG00000136383,grey
ENSG00000140678,M10
ENSG00000043039,M22
ENSG00000101470,M18
ENSG00000120738,grey
ENSG00000165269,M25
ENSG00000119681,M1
ENSG00000172399,M18
ENSG00000184905,grey
ENSG00000023171,grey
ENSG00000126878,M11
ENSG00000100285,grey
ENSG00000113657,M1
ENSG00000275688,M11
ENSG00000134709,M6
ENSG00000076706,M1
ENSG00000049283,M6
ENSG00000137673,M23
ENSG00000158747,M1
ENSG00000175164,grey
ENSG00000121966,M10
ENSG00000125780,M22
ENSG00000268191,grey
ENSG00000104140,M22
ENSG00000182326,grey
ENSG00000162511,M10
ENSG00000141579,M22
ENSG00000112655,grey
ENSG00000105427,M22
ENSG00000182272,grey
ENSG00000129451,M22
ENSG00000173546,M1
ENSG00000261385,M6
ENSG00000165072,grey
ENSG00000185303,grey
ENSG00000158104,M13
ENSG00000036448,M18
ENSG00000166501,grey
ENSG00000140945,grey
ENSG00000171885,grey
ENSG00000133169,M9
ENSG00000168484,grey
ENSG00000095203,grey
ENSG00000175899,M11
ENSG00000177791,M18
ENSG00000198848,grey
ENSG00000129991,grey
ENSG00000163221,M10
ENSG00000187498,M1
ENSG00000105369,M10
ENSG00000115590,grey
ENSG00000203747,M10
ENSG00000136002,grey
ENSG00000130635,M1
ENSG00000165125,M6
ENSG00000137573,M1
ENSG00000107130,M1
ENSG00000160883,M10
ENSG00000240041,M14
ENSG00000135111,grey
ENSG00000147257,M11
ENSG00000154734,M1
ENSG00000115221,M6
ENSG00000085552,M6
ENSG00000039537,grey
ENSG00000106624,M1
ENSG00000170290,M18
ENSG00000154096,grey
ENSG00000142156,M1
ENSG00000211959,M14
ENSG00000107742,grey
ENSG00000013297,grey
ENSG00000105894,grey
ENSG00000100234,M1
ENSG00000160678,grey
ENSG00000171819,grey
ENSG00000081479,grey
ENSG00000106078,grey
ENSG00000206538,M1
ENSG00000104267,grey
ENSG00000007314,grey
ENSG00000248144,grey
ENSG00000154277,grey
ENSG00000239839,grey
ENSG00000172935,M1
ENSG00000168685,M10
ENSG00000234964,grey
ENSG00000251546,M14
ENSG00000134827,grey
ENSG00000204128,M13
ENSG00000046604,M6
ENSG00000128340,M10
ENSG00000165105,M6
ENSG00000088882,M5
ENSG00000129988,M13
ENSG00000119508,grey
ENSG00000167608,M6
ENSG00000143248,grey
ENSG00000109472,M1
ENSG00000167549,M12
ENSG00000142748,grey
ENSG00000109610,M1
ENSG00000006555,M6
ENSG00000114115,grey
ENSG00000112303,M10
ENSG00000168309,grey
ENSG00000130592,grey
ENSG00000134755,grey
ENSG00000081237,M10
ENSG00000134317,M22
ENSG00000186868,grey
ENSG00000123243,grey
ENSG00000242076,M14
ENSG00000059915,grey
ENSG00000129009,M1
ENSG00000165124,M1
ENSG00000154175,M1
ENSG00000142798,M1
ENSG00000143320,grey
ENSG00000179593,grey
ENSG00000159189,grey
ENSG00000071991,grey
ENSG00000196154,M15
ENSG00000130528,M18
ENSG00000139044,grey
ENSG00000257335,grey
ENSG00000144063,grey
ENSG00000166922,M9
ENSG00000198796,grey
ENSG00000118257,M1
ENSG00000244255,grey
ENSG00000211597,M14
ENSG00000211663,M14
ENSG00000165810,M11
ENSG00000229776,grey
ENSG00000280087,M13
ENSG00000087250,M19
ENSG00000168490,grey
ENSG00000184347,M1
ENSG00000137648,M6
ENSG00000120251,M9
ENSG00000160282,M13
ENSG00000090104,grey
ENSG00000066468,grey
ENSG00000143119,M10
ENSG00000105855,grey
ENSG00000114270,grey
ENSG00000101955,M1
ENSG00000026508,M15
ENSG00000108405,grey
ENSG00000158887,grey
ENSG00000080493,M6
ENSG00000131730,M18
ENSG00000258498,grey
ENSG00000198203,grey
ENSG00000094755,M22
ENSG00000227954,grey
ENSG00000141753,grey
ENSG00000187957,M9
ENSG00000169851,M1
ENSG00000106236,grey
ENSG00000210140,M26
ENSG00000174938,M9
ENSG00000273171,M13
ENSG00000162482,M21
ENSG00000079385,M6
ENSG00000196296,M18
ENSG00000007062,M6
ENSG00000267110,grey
ENSG00000054938,M24
ENSG00000140416,M1
ENSG00000167371,M2
ENSG00000184557,grey
ENSG00000128709,M24
ENSG00000082175,grey
ENSG00000135842,M1
ENSG00000085265,M10
ENSG00000159403,grey
ENSG00000165507,grey
ENSG00000170500,M2
ENSG00000163141,M22
ENSG00000130513,grey
ENSG00000122786,M1
ENSG00000167711,M13
ENSG00000170476,M14
ENSG00000136235,M1
ENSG00000128710,M24
ENSG00000166183,grey
ENSG00000101447,grey
ENSG00000108551,grey
ENSG00000075043,M9
ENSG00000231852,grey
ENSG00000050165,M1
ENSG00000160867,grey
ENSG00000086967,M18
ENSG00000237298,M18
ENSG00000110436,grey
ENSG00000166828,M6
ENSG00000148735,M6
ENSG00000121742,M22
ENSG00000113494,grey
ENSG00000164879,M18
ENSG00000119411,M6
ENSG00000163710,grey
ENSG00000162551,grey
ENSG00000025423,M13
ENSG00000159409,M9
ENSG00000205221,M1
ENSG00000154639,M6
ENSG00000121898,M1
ENSG00000101605,M18
ENSG00000240247,grey
ENSG00000182885,grey
ENSG00000152377,M1
ENSG00000264230,M22
ENSG00000259827,grey
ENSG00000181418,grey
ENSG00000114812,grey
ENSG00000006071,M9
ENSG00000143297,M14
ENSG00000184811,M25
ENSG00000172818,grey
ENSG00000185133,grey
ENSG00000123838,M13
ENSG00000165449,grey
ENSG00000155659,grey
ENSG00000181856,M12
ENSG00000224916,M13
ENSG00000088002,M22
ENSG00000161649,M11
ENSG00000210135,M26
ENSG00000130762,M6
ENSG00000267748,M6
ENSG00000163464,M10
ENSG00000158258,grey
ENSG00000198732,grey
ENSG00000165828,M21
ENSG00000166415,grey
ENSG00000153531,M18
ENSG00000168077,M1
ENSG00000196924,M1
ENSG00000127954,grey
ENSG00000156113,M1
ENSG00000076944,grey
ENSG00000109099,M1
ENSG00000119938,grey
ENSG00000137558,grey
ENSG00000139970,grey
ENSG00000166869,grey
ENSG00000102385,grey
ENSG00000234906,M13
ENSG00000165905,M6
ENSG00000137203,M22
ENSG00000169583,grey
ENSG00000125637,grey
ENSG00000131711,M1
ENSG00000149573,grey
ENSG00000166250,M1
ENSG00000210144,M26
ENSG00000243290,M14
ENSG00000182175,M12
ENSG00000147168,M10
ENSG00000103710,M1
ENSG00000173372,grey
ENSG00000005073,M24
ENSG00000163430,M1
ENSG00000144406,M9
ENSG00000011347,grey
ENSG00000135069,grey
ENSG00000112183,grey
ENSG00000225670,M19
ENSG00000170370,grey
ENSG00000177469,M1
ENSG00000046653,M19
ENSG00000156219,grey
ENSG00000005844,M10
ENSG00000100292,grey
ENSG00000184144,M19
ENSG00000138722,grey
ENSG00000108691,grey
ENSG00000131016,M1
ENSG00000211594,M14
ENSG00000160255,M10
ENSG00000240990,M24
ENSG00000188933,grey
ENSG00000110169,M13
ENSG00000074276,M21
ENSG00000166592,M12
ENSG00000143318,M18
ENSG00000017427,grey
ENSG00000169031,grey
ENSG00000211966,M14
ENSG00000018236,M2
ENSG00000157087,grey
ENSG00000275410,M21
ENSG00000102879,M10
ENSG00000088836,grey
ENSG00000119125,M21
ENSG00000178531,grey
ENSG00000180871,grey
ENSG00000214456,grey
ENSG00000129116,M1
ENSG00000211945,M14
ENSG00000092295,M22
ENSG00000101144,grey
ENSG00000263155,grey
ENSG00000145198,M9
ENSG00000197971,M19
ENSG00000162522,M6
ENSG00000211659,M14
ENSG00000141161,M18
ENSG00000183963,M1
ENSG00000167244,grey
ENSG00000066405,grey
ENSG00000172201,grey
ENSG00000078399,M24
ENSG00000158517,M10
ENSG00000134121,grey
ENSG00000146477,grey
ENSG00000167306,M6
ENSG00000177508,grey
ENSG00000187642,M18
ENSG00000091482,M18
ENSG00000074181,M1
ENSG00000150625,grey
ENSG00000142677,M6
ENSG00000127249,grey
ENSG00000117525,grey
ENSG00000087258,M9
ENSG00000172478,grey
ENSG00000156413,M6
ENSG00000172346,grey
ENSG00000143995,M1
ENSG00000107954,M9
ENSG00000006047,M4
ENSG00000141485,M13
ENSG00000137731,M23
ENSG00000163814,M6
ENSG00000251569,M18
ENSG00000143502,grey
ENSG00000154319,grey
ENSG00000091622,M8
ENSG00000170345,grey
ENSG00000131747,M8
ENSG00000021826,M13
ENSG00000133800,grey
ENSG00000173110,grey
ENSG00000241644,M1
ENSG00000169604,M1
ENSG00000038427,grey
ENSG00000188338,grey
ENSG00000162733,M1
ENSG00000173068,M1
ENSG00000162692,grey
ENSG00000168453,grey
ENSG00000241755,M14
ENSG00000172137,grey
ENSG00000112379,grey
ENSG00000167641,M1
ENSG00000176788,grey
ENSG00000211648,M14
ENSG00000155269,M5
ENSG00000216490,grey
ENSG00000095303,grey
ENSG00000211943,M14
ENSG00000167772,grey
ENSG00000280237,grey
ENSG00000151632,grey
ENSG00000075275,M6
ENSG00000130477,M9
ENSG00000185862,M10
ENSG00000146197,grey
ENSG00000174807,M1
ENSG00000179915,M19
ENSG00000124429,grey
ENSG00000091831,grey
ENSG00000109625,M5
ENSG00000116701,M10
ENSG00000140937,M1
ENSG00000169442,M10
ENSG00000143125,grey
ENSG00000154358,M18
ENSG00000176092,M22
ENSG00000138944,grey
ENSG00000164949,M1
ENSG00000211676,M14
ENSG00000070808,grey
ENSG00000099812,M6
ENSG00000124440,grey
ENSG00000151715,M6
ENSG00000107485,grey
ENSG00000101213,grey
ENSG00000138080,M1
ENSG00000143867,M1
ENSG00000084110,M13
ENSG00000258399,grey
ENSG00000261786,grey
ENSG00000107562,M1
ENSG00000131620,grey
ENSG00000108602,grey
ENSG00000159212,grey
ENSG00000140538,grey
ENSG00000138161,M23
ENSG00000266302,grey
ENSG00000019169,grey
ENSG00000197321,M12
ENSG00000142910,M11
ENSG00000176971,M1
ENSG00000110492,grey
ENSG00000001626,M23
ENSG00000109956,M19
ENSG00000169418,M1
ENSG00000104435,M9
ENSG00000151468,M1
ENSG00000168477,M1
ENSG00000140274,grey
ENSG00000197629,grey
ENSG00000123843,M13
ENSG00000123329,grey
ENSG00000128849,grey
ENSG00000186204,grey
ENSG00000214402,grey
ENSG00000102287,M1
ENSG00000129965,M23
ENSG00000248596,grey
ENSG00000210127,M26
ENSG00000166920,grey
ENSG00000184113,M11
ENSG00000079435,M25
ENSG00000000938,M10
ENSG00000012171,grey
ENSG00000211947,M14
ENSG00000050438,M9
ENSG00000147255,grey
ENSG00000137440,M22
ENSG00000182013,grey
ENSG00000174697,M25
ENSG00000105270,M2
ENSG00000197380,M1
ENSG00000064270,M6
ENSG00000130822,grey
ENSG00000145287,M10
ENSG00000198542,grey
ENSG00000118432,grey
ENSG00000142494,grey
ENSG00000163687,grey
ENSG00000187942,M1
ENSG00000080031,M8
ENSG00000078295,grey
ENSG00000137726,M2
ENSG00000148773,M8
ENSG00000205364,grey
ENSG00000137843,grey
ENSG00000183287,M5
ENSG00000072163,M1
ENSG00000121440,M12
ENSG00000140682,M1
ENSG00000070526,M14
ENSG00000124491,grey
ENSG00000073350,M6
ENSG00000203697,M6
ENSG00000255248,M1
ENSG00000075073,M1
ENSG00000160593,grey
ENSG00000059804,grey
ENSG00000260230,grey
ENSG00000206262,grey
ENSG00000079931,grey
ENSG00000133135,M6
ENSG00000170801,M1
ENSG00000196569,M1
ENSG00000112299,grey
ENSG00000132464,M14
ENSG00000184925,grey
ENSG00000181195,grey
ENSG00000121653,M9
ENSG00000120729,M18
ENSG00000148671,M1
